,time,A,W,C,beta_hat,alpha,gamma,zeta,limit,q,r,N,M,p,s_final,route_adjacent_ratio,traced_edges,traced_edges_distant,group 0 adoption rate,group 1 adoption rate,avg. exp. interval - group 0,avg. exp. interval - group 1,avg. eff. inf. interval - group 0,avg. eff. inf. interval - group 1,case,infected_ratio
0,55,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,1997,0.9629629629629629,0,0,,1.0,,3.3076923076923075,,0.07555555555555556,q-0.0_r-0.0,-43.37777777777778
1,333,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,722,0.8671274961597543,0,0,,1.0,,2.7529761904761907,,4.08,q-0.0_r-0.0,-15.044444444444444
2,56,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2013,1.0,0,0,,1.0,,6.0,,0.037530864197530864,q-0.0_r-0.0,-43.733333333333334
3,347,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,730,0.8709428129829985,0,0,,1.0,,3.019867549668874,,4.133333333333334,q-0.0_r-0.0,-15.222222222222221
4,15,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.977777777777774
5,1,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,1.0,0,0,,1.0,,-1.0,,0.0,q-0.0_r-0.0,-43.977777777777774
6,234,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,625,0.8691922802001429,0,0,,1.0,,2.7025862068965516,,4.674567901234568,q-0.0_r-0.0,-12.88888888888889
7,222,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,802,0.869885433715221,0,0,,1.0,,2.9283333333333332,,3.917530864197531,q-0.0_r-0.0,-16.822222222222223
8,98,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,1955,0.927536231884058,0,0,,1.0,,1.853658536585366,,0.18666666666666668,q-0.0_r-0.0,-42.44444444444444
9,296,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,589,0.8634146341463415,0,0,,1.0,,2.895348837209302,,5.118518518518519,q-0.0_r-0.0,-12.088888888888889
10,6,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.977777777777774
11,16,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.977777777777774
12,295,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,639,0.8830324909747292,0,0,,1.0,,3.2133526850507983,,4.235555555555556,q-0.0_r-0.0,-13.2
13,1,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.977777777777774
14,8,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2021,1.0,0,0,,1.0,,1.0,,0.0014814814814814814,q-0.0_r-0.0,-43.91111111111111
15,37,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2008,0.8125,0,0,,1.0,,2.3333333333333335,,0.04246913580246914,q-0.0_r-0.0,-43.62222222222222
16,31,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2022,1.0,0,0,,1.0,,12.5,,0.0049382716049382715,q-0.0_r-0.0,-43.93333333333333
17,40,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2015,0.7777777777777778,0,0,,1.0,,4.75,,0.015308641975308642,q-0.0_r-0.0,-43.77777777777778
18,101,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,1984,0.85,0,0,,1.0,,3.142857142857143,,0.13283950617283952,q-0.0_r-0.0,-43.08888888888889
19,268,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,541,0.8671611598111936,0,0,,1.0,,2.9850299401197606,,5.007407407407407,q-0.0_r-0.0,-11.022222222222222
20,281,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,595,0.8908327501749476,0,0,,1.0,,2.8663853727144866,,4.834074074074074,q-0.0_r-0.0,-12.222222222222221
21,46,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2019,0.8,0,0,,1.0,,8.333333333333334,,0.01728395061728395,q-0.0_r-0.0,-43.86666666666667
22,5,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2022,0.5,0,0,,1.0,,-1.0,,0.0,q-0.0_r-0.0,-43.93333333333333
23,265,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,642,0.8661360347322721,0,0,,1.0,,3.1641791044776117,,4.469135802469136,q-0.0_r-0.0,-13.266666666666667
24,223,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,582,0.8800277392510403,0,0,,1.0,,3.1767955801104972,,4.653333333333333,q-0.0_r-0.0,-11.933333333333334
25,268,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,669,0.8686346863468635,0,0,,1.0,,2.7638691322901847,,4.5935802469135805,q-0.0_r-0.0,-13.866666666666667
